         54490 function calls (54482 primitive calls) in 425.663 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       91    0.004    0.000    0.004    0.000 {built-in method nt.fspath}
        5    0.004    0.001    0.004    0.001 {method 'astype' of 'numpy.ndarray' objects}
        3    0.002    0.001    0.004    0.001 _array.py:413(__getitem__)
        2    0.002    0.001    0.004    0.002 fromnumeric.py:2333(any)
       38    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
       18    0.003    0.000    0.003    0.000 ntpath.py:124(splitdrive)
       18    0.001    0.000    0.003    0.000 __init__.py:628(usesTime)
       19    0.000    0.000    0.003    0.000 ntpath.py:203(splitext)
     4488    0.003    0.000    0.003    0.000 {built-in method _codecs.charmap_encode}
       36    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
       19    0.000    0.000    0.003    0.000 genericpath.py:121(_splitext)
        4    0.001    0.000    0.003    0.001 _bch.py:736(k)
       18    0.003    0.000    0.003    0.000 {built-in method time.strftime}
        1    0.001    0.001    0.003    0.003 <__array_function__ internals>:177(round_)
        1    0.001    0.001    0.003    0.003 numerictypes.py:356(issubdtype)
       16    0.003    0.000    0.003    0.000 {built-in method _thread.start_new_thread}
       13    0.003    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
        1    0.001    0.001    0.003    0.003 shape_base.py:299(hstack)
       18    0.002    0.000    0.002    0.000 ntpath.py:34(_get_bothseps)
       36    0.001    0.000    0.002    0.000 __init__.py:896(acquire)
       32    0.001    0.000    0.002    0.000 threading.py:411(acquire)
       50    0.002    0.000    0.002    0.000 threading.py:228(__init__)
       18    0.002    0.000    0.002    0.000 __init__.py:421(usesTime)
       21    0.002    0.000    0.002    0.000 {built-in method builtins.max}
       36    0.002    0.000    0.002    0.000 __init__.py:791(filter)
        2    0.002    0.001    0.002    0.001 {method 'ravel' of 'numpy.ndarray' objects}
        4    0.002    0.001    0.002    0.001 _linear.py:317(k)
       69    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.001    0.001    0.002    0.002 threading.py:405(__init__)
       18    0.002    0.000    0.002    0.000 {built-in method sys._getframe}
        2    0.001    0.000    0.002    0.001 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:3754(round_)
        1    0.000    0.000    0.002    0.002 <__array_function__ internals>:177(around)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:3245(around)
       65    0.001    0.000    0.002    0.000 _base.py:179(_yield_finished_futures)
        1    0.002    0.002    0.002    0.002 {VideoWriter_fourcc}
        1    0.002    0.002    0.002    0.002 fromnumeric.py:51(_wrapfunc)
        5    0.002    0.000    0.002    0.000 numeric.py:1878(isscalar)
      100    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
       32    0.001    0.000    0.002    0.000 _base.py:318(__init__)
        1    0.001    0.001    0.002    0.002 getlimits.py:476(__new__)
       50    0.001    0.000    0.002    0.000 threading.py:1358(current_thread)
     2704    0.002    0.000    0.002    0.000 {built-in method builtins.len}
        2    0.001    0.000    0.002    0.001 numerictypes.py:282(issubclass_)
        2    0.002    0.001    0.002    0.001 {built-in method numpy.asarray}
        2    0.002    0.001    0.002    0.001 getlimits.py:668(__init__)
        2    0.002    0.001    0.002    0.001 {method 'isOpened' of 'cv2.VideoWriter' objects}
        1    0.000    0.000    0.002    0.002 <__array_function__ internals>:177(tile)
        1    0.001    0.001    0.002    0.002 arraypad.py:86(_pad_simple)
        2    0.002    0.001    0.002    0.001 {built-in method _locale._getdefaultlocale}
        4    0.001    0.000    0.001    0.000 contextlib.py:261(helper)
       17    0.001    0.000    0.001    0.000 threading.py:528(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method nt.urandom}
        7    0.000    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
        2    0.001    0.001    0.001    0.001 fromnumeric.py:69(_wrapreduction)
        2    0.001    0.001    0.001    0.001 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 shape_base.py:1191(tile)
        6    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      176    0.001    0.000    0.001    0.000 threading.py:259(__exit__)
        7    0.000    0.000    0.001    0.000 _array.py:431(__array_finalize__)
        1    0.001    0.001    0.001    0.001 encoder.py:204(iterencode)
       18    0.000    0.000    0.001    0.000 __init__.py:119(getLevelName)
       16    0.001    0.000    0.001    0.000 weakref.py:370(remove)
        1    0.001    0.001    0.001    0.001 _meta.py:135(order)
       16    0.000    0.000    0.001    0.000 threading.py:992(_stop)
        4    0.001    0.000    0.001    0.000 contextlib.py:123(__exit__)
       18    0.001    0.000    0.001    0.000 __init__.py:358(getMessage)
       57    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
        2    0.001    0.000    0.001    0.000 _helper.py:12(verify_isinstance)
        3    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
       54    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:177(atleast_1d)
       32    0.000    0.000    0.001    0.000 _base.py:418(result)
        1    0.001    0.001    0.001    0.001 {built-in method numpy.frombuffer}
       80    0.000    0.000    0.001    0.000 threading.py:271(_is_owned)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:177(concatenate)
       18    0.001    0.000    0.001    0.000 process.py:189(name)
        2    0.000    0.000    0.001    0.000 _bch.py:662(field)
       80    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
        2    0.001    0.000    0.001    0.000 _linear.py:303(field)
      176    0.000    0.000    0.001    0.000 threading.py:256(__enter__)
        1    0.001    0.001    0.001    0.001 watermark_embedder.py:703(<dictcomp>)
       80    0.000    0.000    0.001    0.000 threading.py:268(_acquire_restore)
       18    0.001    0.000    0.001    0.000 threading.py:1093(name)
        4    0.000    0.000    0.001    0.000 contextlib.py:86(__init__)
        2    0.001    0.000    0.001    0.000 {method 'isOpened' of 'cv2.VideoCapture' objects}
       18    0.001    0.000    0.001    0.000 process.py:37(current_process)
       32    0.000    0.000    0.001    0.000 threading.py:553(clear)
       18    0.001    0.000    0.001    0.000 {built-in method nt.getpid}
       16    0.001    0.000    0.001    0.000 threading.py:775(_maintain_shutdown_locks)
        1    0.001    0.001    0.001    0.001 {method 'repeat' of 'numpy.ndarray' objects}
        2    0.001    0.000    0.001    0.000 getlimits.py:692(max)
       16    0.001    0.000    0.001    0.000 weakref.py:428(__setitem__)
        1    0.001    0.001    0.001    0.001 _bch.py:712(n)
        1    0.000    0.000    0.001    0.001 __init__.py:218(_acquireLock)
        1    0.001    0.001    0.001    0.001 encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       68    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 _bch.py:972(G)
        5    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 _array.py:61(_get_dtype)
        4    0.000    0.000    0.000    0.000 contextlib.py:114(__enter__)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 {method 'hex' of 'bytes' objects}
