         33774 function calls (33766 primitive calls) in 80.587 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   80.587   80.587 watermark_embedder.py:645(main)
        1    0.003    0.003   77.641   77.641 watermark_embedder.py:578(embed_watermark_in_video)
       47    0.001    0.000   77.622    1.652 threading.py:563(wait)
       78    0.001    0.000   77.621    0.995 threading.py:280(wait)
      328   77.620    0.237   77.620    0.237 {method 'acquire' of '_thread.lock' objects}
       32    0.001    0.000   77.591    2.425 _base.py:201(as_completed)
        1    0.017    0.017    2.031    2.031 watermark_embedder.py:358(write_video)
      907    2.010    0.002    2.010    0.002 {method 'write' of 'cv2.VideoWriter' objects}
        1    0.018    0.018    0.912    0.912 watermark_embedder.py:320(read_video)
      908    0.884    0.001    0.884    0.001 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.036    0.036 watermark_embedder.py:610(<dictcomp>)
       31    0.000    0.000    0.036    0.001 thread.py:161(submit)
       31    0.000    0.000    0.035    0.001 thread.py:180(_adjust_thread_count)
       16    0.000    0.000    0.034    0.002 threading.py:880(start)
        1    0.009    0.009    0.009    0.009 {method 'release' of 'cv2.VideoCapture' objects}
        1    0.001    0.001    0.007    0.007 __init__.py:120(dump)
     3194    0.002    0.000    0.004    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     3175    0.000    0.000    0.003    0.000 encoder.py:413(_iterencode)
       19    0.000    0.000    0.003    0.000 __init__.py:2089(info)
       19    0.000    0.000    0.003    0.000 __init__.py:1436(info)
       19    0.000    0.000    0.002    0.000 __init__.py:1565(_log)
     3175    0.001    0.000    0.002    0.000 encoder.py:333(_iterencode_dict)
        1    0.002    0.002    0.002    0.002 {method 'release' of 'cv2.VideoWriter' objects}
        2    0.002    0.001    0.002    0.001 {built-in method io.open}
     3194    0.001    0.000    0.001    0.000 cp1251.py:18(encode)
       19    0.000    0.000    0.001    0.000 __init__.py:1591(handle)
       16    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
       19    0.000    0.000    0.001    0.000 __init__.py:1645(callHandlers)
       19    0.000    0.000    0.001    0.000 __init__.py:939(handle)
       19    0.000    0.000    0.001    0.000 __init__.py:1178(emit)
       19    0.000    0.000    0.001    0.000 __init__.py:1071(emit)
        1    0.000    0.000    0.001    0.001 _base.py:636(__exit__)
        1    0.000    0.000    0.001    0.001 thread.py:216(shutdown)
     2265    0.001    0.000    0.001    0.000 encoder.py:277(_iterencode_list)
       16    0.000    0.000    0.001    0.000 threading.py:1028(join)
       16    0.000    0.000    0.001    0.000 threading.py:1066(_wait_for_tstate_lock)
     1394    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       19    0.000    0.000    0.001    0.000 __init__.py:1550(makeRecord)
     3194    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_encode}
       19    0.000    0.000    0.001    0.000 __init__.py:282(__init__)
