         53668 function calls (53624 primitive calls) in 61.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2951    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
      260    0.000    0.000    0.002    0.000 threading.py:411(acquire)
      525    0.001    0.000    0.001    0.000 threading.py:268(_acquire_restore)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      260    0.001    0.000    0.001    0.000 threading.py:553(clear)
     1033    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1305    0.001    0.000    0.001    0.000 threading.py:259(__exit__)
        1    0.000    0.000    0.001    0.001 _io.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _utils.py:65(_get_bin_dir)
     1305    0.001    0.000    0.001    0.000 threading.py:256(__enter__)
       21    0.000    0.000    0.001    0.000 __init__.py:916(format)
        1    0.000    0.000    0.001    0.001 resources.py:143(files)
       21    0.000    0.000    0.001    0.000 __init__.py:1550(makeRecord)
       21    0.000    0.000    0.001    0.000 __init__.py:650(format)
       21    0.000    0.000    0.001    0.000 __init__.py:282(__init__)
        1    0.000    0.000    0.001    0.001 resources.py:43(_get_package)
        1    0.000    0.000    0.001    0.001 resources.py:36(_resolve)
     2044    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      260    0.000    0.000    0.001    0.000 _base.py:318(__init__)
        4    0.001    0.000    0.001    0.000 {built-in method io.open}
        1    0.000    0.000    0.001    0.001 __init__.py:40(__getattr__)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      260    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      267    0.000    0.000    0.001    0.000 threading.py:228(__init__)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      520    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
       21    0.000    0.000    0.001    0.000 __init__.py:582(formatTime)
        9    0.001    0.000    0.001    0.000 {built-in method io.open_code}
      525    0.000    0.000    0.001    0.000 threading.py:271(_is_owned)
        1    0.000    0.000    0.001    0.001 _parsing.py:1(<module>)
       77    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
        9    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        8    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
      260    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
      525    0.000    0.000    0.000    0.000 threading.py:265(_release_save)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
       18    0.000    0.000    0.000    0.000 subprocess.py:200(Close)
       12    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
        1    0.000    0.000    0.000    0.000 request.py:218(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
       21    0.000    0.000    0.000    0.000 __init__.py:1514(findCaller)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      260    0.000    0.000    0.000    0.000 _base.py:388(__get_result)
        3    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       21    0.000    0.000    0.000    0.000 ntpath.py:214(basename)
       21    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       21    0.000    0.000    0.000    0.000 {built-in method time.localtime}
     1587    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
       22    0.000    0.000    0.000    0.000 ntpath.py:180(split)
        1    0.000    0.000    0.000    0.000 request.py:282(_parse_uri)
      520    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        5    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
      260    0.000    0.000    0.000    0.000 threading.py:82(RLock)
      531    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
        2    0.000    0.000    0.000    0.000 subprocess.py:533(list2cmdline)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        9    0.000    0.000    0.000    0.000 subprocess.py:1158(poll)
        2    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1448(warning)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
       11    0.000    0.000    0.000    0.000 subprocess.py:1445(_internal_poll)
        1    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
      263    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       22    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       22    0.000    0.000    0.000    0.000 ntpath.py:203(splitext)
       10    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 subprocess.py:1207(_close_pipe_fds)
      785    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       41    0.000    0.000    0.000    0.000 ntpath.py:44(normcase)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     1315    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      8/6    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 functools.py:883(wrapper)
      260    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       21    0.000    0.000    0.000    0.000 __init__.py:634(formatMessage)
        5    0.000    0.000    0.000    0.000 threading.py:992(_stop)
       22    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        1    0.000    0.000    0.000    0.000 functools.py:817(dispatch)
       25    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
        1    0.000    0.000    0.000    0.000 genericpath.py:48(getsize)
        2    0.000    0.000    0.000    0.000 pathlib.py:1079(__new__)
        1    0.000    0.000    0.000    0.000 functools.py:773(_find_impl)
       21    0.000    0.000    0.000    0.000 __init__.py:432(format)
        2    0.000    0.000    0.000    0.000 subprocess.py:1240(_get_handles)
        1    0.000    0.000    0.000    0.000 functools.py:731(_compose_mro)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
        2    0.000    0.000    0.000    0.000 pathlib.py:702(_from_parts)
        1    0.000    0.000    0.000    0.000 thread.py:4(<module>)
       22    0.000    0.000    0.000    0.000 cp1251.py:18(encode)
      7/1    0.000    0.000    0.000    0.000 functools.py:686(_c3_mro)
        3    0.000    0.000    0.000    0.000 pathlib.py:682(_parse_args)
        1    0.000    0.000    0.000    0.000 _base.py:157(_create_and_install_waiters)
       21    0.000    0.000    0.000    0.000 __init__.py:429(_format)
        5    0.000    0.000    0.000    0.000 threading.py:802(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
        1    0.000    0.000    0.000    0.000 watermark_embedder.py:313(add_ecc)
       38    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
      525    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       21    0.000    0.000    0.000    0.000 __init__.py:628(usesTime)
        1    0.000    0.000    0.000    0.000 _base.py:149(__enter__)
      260    0.000    0.000    0.000    0.000 thread.py:47(__init__)
       77    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
        2    0.000    0.000    0.000    0.000 contextlib.py:489(__exit__)
        1    0.000    0.000    0.000    0.000 shape_base.py:1185(tile)
      530    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.000    0.000 _common.py:9(from_package)
       42    0.000    0.000    0.000    0.000 __init__.py:896(acquire)
        1    0.000    0.000    0.000    0.000 _common.py:17(fallback_resources)
        3    0.000    0.000    0.000    0.000 pathlib.py:64(parse_parts)
       70    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      305    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
        5    0.000    0.000    0.000    0.000 threading.py:775(_maintain_shutdown_locks)
