         80590 function calls (80473 primitive calls) in 122.189 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003  122.189  122.189 watermark_embedder.py:1037(main)
        1    0.013    0.013  118.807  118.807 watermark_embedder.py:887(embed_watermark_in_video)
     2270  117.904    0.052  117.904    0.052 {method 'acquire' of '_thread.lock' objects}
      454    0.020    0.000  116.306    0.256 _base.py:201(as_completed)
      454    0.015    0.000  116.265    0.256 threading.py:563(wait)
      454    0.013    0.000  116.247    0.256 threading.py:280(wait)
        1    0.037    0.037    2.092    2.092 watermark_embedder.py:465(write_video)
      907    2.050    0.002    2.050    0.002 {method 'write' of 'cv2.VideoWriter' objects}
        1    0.000    0.000    1.687    1.687 _base.py:636(__exit__)
        1    0.000    0.000    1.687    1.687 process.py:758(shutdown)
        1    0.001    0.001    1.683    1.683 threading.py:1028(join)
        1    0.000    0.000    1.682    1.682 threading.py:1066(_wait_for_tstate_lock)
        1    0.065    0.065    1.283    1.283 watermark_embedder.py:416(read_video)
      908    1.193    0.001    1.193    0.001 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.001    0.001    0.768    0.768 watermark_embedder.py:970(<dictcomp>)
      453    0.075    0.000    0.768    0.002 process.py:704(submit)
      453    0.000    0.000    0.637    0.001 process.py:671(_adjust_process_count)
       16    0.000    0.000    0.636    0.040 process.py:694(_spawn_process)
       16    0.000    0.000    0.635    0.040 process.py:110(start)
       16    0.000    0.000    0.634    0.040 context.py:324(_Popen)
       16    0.001    0.000    0.622    0.039 popen_spawn_win32.py:44(__init__)
       16    0.607    0.038    0.607    0.038 {built-in method _winapi.CreateProcess}
     2719    0.026    0.000    0.027    0.000 threading.py:256(__enter__)
      453    0.001    0.000    0.025    0.000 queue.py:122(put)
      453    0.001    0.000    0.021    0.000 _base.py:318(__init__)
      460    0.002    0.000    0.020    0.000 threading.py:228(__init__)
      453    0.019    0.000    0.019    0.000 threading.py:82(RLock)
      907    0.007    0.000    0.015    0.000 _base.py:179(_yield_finished_futures)
        1    0.001    0.001    0.014    0.014 __init__.py:120(dump)
       23    0.014    0.001    0.014    0.001 {built-in method nt.stat}
