         16613093 function calls (16343272 primitive calls) in 141.822 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13590    0.408    0.000    0.421    0.000 ufunclike.py:73(fix)
    23103    0.082    0.000    0.419    0.000 <__array_function__ internals>:177(asfarray)
     3657    0.007    0.000    0.414    0.000 __init__.py:1178(emit)
     3657    0.013    0.000    0.406    0.000 __init__.py:1071(emit)
     5462    0.010    0.000    0.394    0.000 <__array_function__ internals>:177(bincount)
    54360    0.163    0.000    0.389    0.000 zipfile.py:789(__init__)
    23103    0.077    0.000    0.288    0.000 type_check.py:84(asfarray)
    54360    0.063    0.000    0.247    0.000 zipfile.py:1017(_read2)
   543600    0.133    0.000    0.238    0.000 <string>:1(<lambda>)
244620/27180    0.196    0.000    0.233    0.000 ast.py:79(_convert)
    28541    0.094    0.000    0.218    0.000 numerictypes.py:356(issubdtype)
     3657    0.007    0.000    0.211    0.000 __init__.py:1060(flush)
   516420    0.158    0.000    0.210    0.000 types.py:171(__get__)
     2718    0.030    0.000    0.199    0.000 histograms.py:360(_get_bin_edges)
     3171    0.008    0.000    0.198    0.000 <__array_function__ internals>:177(amin)
     3657    0.198    0.000    0.198    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
   516420    0.179    0.000    0.193    0.000 tokenize.py:170(add_whitespace)
    54360    0.187    0.000    0.187    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      906    0.001    0.000    0.186    0.000 <__array_function__ internals>:177(var)
     3657    0.009    0.000    0.185    0.000 __init__.py:1550(makeRecord)
      906    0.005    0.000    0.183    0.000 fromnumeric.py:3614(var)
     3171    0.012    0.000    0.183    0.000 fromnumeric.py:2829(amin)
    54360    0.038    0.000    0.181    0.000 zipfile.py:697(_get_decompressor)
      906    0.068    0.000    0.179    0.000 _methods.py:198(_var)
     3657    0.069    0.000    0.176    0.000 __init__.py:282(__init__)
    54360    0.082    0.000    0.176    0.000 zipfile.py:1033(close)
   163082    0.172    0.000    0.172    0.000 {method 'tell' of '_io.BufferedReader' objects}
