         20317 function calls (20306 primitive calls) in 32.311 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
       21    0.000    0.000    0.000    0.000 threading.py:528(__init__)
      160    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.000    0.000 {method 'hex' of 'bytes' objects}
      340    0.000    0.000    0.000    0.000 threading.py:265(_release_save)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       25    0.000    0.000    0.000    0.000 __init__.py:1514(findCaller)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
     1007    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       25    0.000    0.000    0.000    0.000 ntpath.py:214(basename)
       42    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       25    0.000    0.000    0.000    0.000 ntpath.py:180(split)
        6    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      340    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       25    0.000    0.000    0.000    0.000 {built-in method time.strftime}
      320    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
      160    0.000    0.000    0.000    0.000 _base.py:388(__get_result)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      992    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       25    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.000    0.000 {method 'isOpened' of 'cv2.VideoWriter' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 tokenize.py:388(open)
        1    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       26    0.000    0.000    0.000    0.000 ntpath.py:203(splitext)
      500    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       20    0.000    0.000    0.000    0.000 weakref.py:428(__setitem__)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       26    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       20    0.000    0.000    0.000    0.000 threading.py:992(_stop)
       50    0.000    0.000    0.000    0.000 ntpath.py:44(normcase)
      160    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      160    0.000    0.000    0.000    0.000 thread.py:47(__init__)
       26    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        1    0.000    0.000    0.000    0.000 _base.py:157(_create_and_install_waiters)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       25    0.000    0.000    0.000    0.000 __init__.py:634(formatMessage)
       65    0.000    0.000    0.000    0.000 threading.py:1358(current_thread)
        1    0.000    0.000    0.000    0.000 _base.py:149(__enter__)
      161    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
        9    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       25    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
       25    0.000    0.000    0.000    0.000 __init__.py:432(format)
       20    0.000    0.000    0.000    0.000 threading.py:775(_maintain_shutdown_locks)
        9    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      320    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.000    0.000 tokenize.py:295(detect_encoding)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
       26    0.000    0.000    0.000    0.000 cp1251.py:18(encode)
       25    0.000    0.000    0.000    0.000 __init__.py:429(_format)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
       20    0.000    0.000    0.000    0.000 threading.py:1229(_make_invoke_excepthook)
      360    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 _base.py:146(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        1    0.000    0.000    0.000    0.000 genericpath.py:48(getsize)
      212    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.000    0.000 shape_base.py:1185(tile)
      340    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 _base.py:153(__exit__)
       25    0.000    0.000    0.000    0.000 __init__.py:628(usesTime)
       20    0.000    0.000    0.000    0.000 threading.py:785(<listcomp>)
      160    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       50    0.000    0.000    0.000    0.000 __init__.py:896(acquire)
       25    0.000    0.000    0.000    0.000 __init__.py:160(<lambda>)
      119    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      160    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       26    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.000    0.000 tokenize.py:319(read_or_stop)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       86    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 thread.py:123(__init__)
       25    0.000    0.000    0.000    0.000 __init__.py:421(usesTime)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
