         11554 function calls in 77.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   77.802   77.802 watermark_extractor.py:1005(main)
        1    0.002    0.002   76.579   76.579 watermark_extractor.py:667(extract_watermark_from_video)
       47    0.001    0.000   76.551    1.629 threading.py:563(wait)
       78    0.001    0.000   76.550    0.981 threading.py:280(wait)
      328   76.550    0.233   76.550    0.233 {method 'acquire' of '_thread.lock' objects}
       32    0.001    0.000   76.527    2.391 _base.py:201(as_completed)
        1    0.028    0.028    1.221    1.221 watermark_extractor.py:368(read_video)
      908    1.182    0.001    1.182    0.001 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.029    0.029 watermark_extractor.py:770(<dictcomp>)
       31    0.000    0.000    0.029    0.001 thread.py:161(submit)
       31    0.000    0.000    0.028    0.001 thread.py:180(_adjust_thread_count)
       16    0.000    0.000    0.027    0.002 threading.py:880(start)
       90    0.015    0.000    0.015    0.000 {built-in method builtins.print}
        1    0.009    0.009    0.009    0.009 {method 'release' of 'cv2.VideoCapture' objects}
       30    0.000    0.000    0.003    0.000 __init__.py:1565(_log)
       27    0.000    0.000    0.003    0.000 __init__.py:2089(info)
       27    0.000    0.000    0.003    0.000 __init__.py:1436(info)
       30    0.000    0.000    0.002    0.000 __init__.py:1591(handle)
       30    0.000    0.000    0.002    0.000 __init__.py:1645(callHandlers)
       30    0.000    0.000    0.002    0.000 __init__.py:939(handle)
       30    0.000    0.000    0.002    0.000 __init__.py:1178(emit)
       30    0.000    0.000    0.002    0.000 __init__.py:1071(emit)
       16    0.002    0.000    0.002    0.000 {built-in method _thread.start_new_thread}
     1467    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 watermark_extractor.py:307(decode_ecc)
        1    0.000    0.000    0.001    0.001 _base.py:636(__exit__)
        1    0.000    0.000    0.001    0.001 thread.py:216(shutdown)
       16    0.000    0.000    0.001    0.000 threading.py:1028(join)
       30    0.000    0.000    0.001    0.000 __init__.py:1550(makeRecord)
       30    0.000    0.000    0.001    0.000 __init__.py:282(__init__)
       16    0.000    0.000    0.001    0.000 threading.py:1066(_wait_for_tstate_lock)
       30    0.000    0.000    0.001    0.000 __init__.py:916(format)
       30    0.000    0.000    0.001    0.000 __init__.py:650(format)
       30    0.000    0.000    0.001    0.000 __init__.py:1060(flush)
       63    0.000    0.000    0.001    0.000 _base.py:179(_yield_finished_futures)
       30    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 _bch.py:495(decode)
        1    0.000    0.000    0.000    0.000 _cyclic.py:102(decode)
        1    0.000    0.000    0.000    0.000 _linear.py:135(decode)
       30    0.000    0.000    0.000    0.000 __init__.py:582(formatTime)
       16    0.000    0.000    0.000    0.000 threading.py:802(__init__)
       31    0.000    0.000    0.000    0.000 threading.py:411(acquire)
        1    0.000    0.000    0.000    0.000 _bch.py:656(_decode_codeword)
       98    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       49    0.000    0.000    0.000    0.000 threading.py:228(__init__)
        1    0.000    0.000    0.000    0.000 _bch.py:1212(__call__)
       30    0.000    0.000    0.000    0.000 __init__.py:1514(findCaller)
        3    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
       12    0.000    0.000    0.000    0.000 watermark_extractor.py:283(bits_to_bytes)
       31    0.000    0.000    0.000    0.000 _base.py:318(__init__)
